+--------------+--------------+--------------+--------------+
|      x       |   y_Exacty   |   y_euler    |    error     |
+--------------+--------------+--------------+--------------+
| 0.0000000000 | 0.0000000000 | 0.3614192517 | 0.3614192517 |
| 0.0500000000 | 0.3684031499 | 0.4454236752 | 0.0770205253 |
| 0.1000000000 | 0.4641588834 | 0.5096017787 | 0.0454428953 |
| 0.1500000000 | 0.5313292846 | 0.5623119189 | 0.0309826343 |
| 0.2000000000 | 0.5848035476 | 0.6074757575 | 0.0226722099 |
| 0.2500000000 | 0.6299605249 | 0.6472583782 | 0.0172978532 |
| 0.3000000000 | 0.6694329501 | 0.6829875668 | 0.0135546167 |
| 0.3500000000 | 0.7047298732 | 0.7155398255 | 0.0108099523 |
| 0.4000000000 | 0.7368062997 | 0.7455261340 | 0.0087198343 |
| 0.4500000000 | 0.7663094324 | 0.7733906148 | 0.0070811824 |
| 0.5000000000 | 0.7937005260 | 0.7994670157 | 0.0057664897 |
| 0.5500000000 | 0.8193212706 | 0.8240130091 | 0.0046917385 |
| 0.6000000000 | 0.8434326653 | 0.8472320358 | 0.0037993705 |
| 0.6500000000 | 0.8662391053 | 0.8692877744 | 0.0030486691 |
| 0.7000000000 | 0.8879040017 | 0.8903140474 | 0.0024100456 |
| 0.7500000000 | 0.9085602964 | 0.9104217964 | 0.0018615000 |
| 0.8000000000 | 0.9283177667 | 0.9297041145 | 0.0013863478 |
| 0.8500000000 | 0.9472682372 | 0.9482399536 | 0.0009717164 |
| 0.9000000000 | 0.9654893846 | 0.9660969070 | 0.0006075224 |
| 0.9500000000 | 0.9830475725 | 0.9833333333 | 0.0002857608 |
| 1.0000000000 | 1.0000000000 | 1.0000000000 | 0.0000000000 |
+--------------+--------------+--------------+--------------+
